File Name,Method Name,Complexity
,ModelDescriptionGenerator.GetOrCreateModelDescription(Type modelType),17
D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,drawText,25
D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,parseColorScale,27
D:\PrismMetrics\src\Core.Library.Sabre\dist\components\Sabre.lg.min.js,drawText,25
D:\PrismMetrics\src\Core.Library.Sabre\dist\components\Sabre.lg.min.js,parseColorScale,27
D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\storage.js,handleCookie,18
D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\abstract\BaseObject.js,drawText,27
D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\format\Lg3Format.js,parseColorScale,32
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.ajax,39
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,done,22
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.attr,18
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.clean,29
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.data,19
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.find,18
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,jQuery.removeData,19
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>,25
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>.closest,22
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>.die,16
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>.init,22
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>.live,16
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4-vsdoc.js,<anonymous>.offset,16
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,<anonymous>,23
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,init,22
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,data,19
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,removeData,19
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,attr,18
D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.SubscriptionServer\scripts\jquery-1.6.4.js,add,22
